,year,community_board,metric,value
7575,2019,Manhattan Community Board 4,Black Population,8763.959
7576,2020,Manhattan Community Board 4,Black Population,9075.0
7577,2021,Manhattan Community Board 4,Black Population,9397.08
7578,2022,Manhattan Community Board 4,Black Population,9730.592
7579,2023,Manhattan Community Board 4,Black Population,10075.94
7580,2024,Manhattan Community Board 4,Black Population,10433.545
7581,2006,Manhattan Community Board 4,Hispanic Population,16577.006
7582,2007,Manhattan Community Board 4,Hispanic Population,16982.39
7583,2008,Manhattan Community Board 4,Hispanic Population,17397.688
7584,2009,Manhattan Community Board 4,Hispanic Population,17823.143
7585,2010,Manhattan Community Board 4,Hispanic Population,18259.0
7586,2011,Manhattan Community Board 4,Hispanic Population,18705.518
7587,2012,Manhattan Community Board 4,Hispanic Population,19162.953
7588,2013,Manhattan Community Board 4,Hispanic Population,19631.576
7589,2014,Manhattan Community Board 4,Hispanic Population,20111.66
7590,2015,Manhattan Community Board 4,Hispanic Population,20603.482
7591,2016,Manhattan Community Board 4,Hispanic Population,21107.332
7592,2017,Manhattan Community Board 4,Hispanic Population,21623.506
7593,2018,Manhattan Community Board 4,Hispanic Population,22152.299
7594,2019,Manhattan Community Board 4,Hispanic Population,22694.025
7595,2020,Manhattan Community Board 4,Hispanic Population,23249.0
7596,2021,Manhattan Community Board 4,Hispanic Population,23817.545
7597,2022,Manhattan Community Board 4,Hispanic Population,24399.994
7598,2023,Manhattan Community Board 4,Hispanic Population,24996.688
7599,2024,Manhattan Community Board 4,Hispanic Population,25607.973
7600,2006,Manhattan Community Board 4,Household Population,91929.26
7601,2007,Manhattan Community Board 4,Household Population,94006.7
7602,2008,Manhattan Community Board 4,Household Population,96131.1
7603,2009,Manhattan Community Board 4,Household Population,98303.51
7604,2010,Manhattan Community Board 4,Household Population,100525.0
7605,2011,Manhattan Community Board 4,Household Population,102796.695
7606,2012,Manhattan Community Board 4,Household Population,105119.734
7607,2013,Manhattan Community Board 4,Household Population,107495.266
7608,2014,Manhattan Community Board 4,Household Population,109924.48
7609,2015,Manhattan Community Board 4,Household Population,112408.586
7610,2016,Manhattan Community Board 4,Household Population,114948.836
7611,2017,Manhattan Community Board 4,Household Population,117546.49
7612,2018,Manhattan Community Board 4,Household Population,120202.84
7613,2019,Manhattan Community Board 4,Household Population,122919.23
7614,2020,Manhattan Community Board 4,Household Population,125697.0
7615,2021,Manhattan Community Board 4,Household Population,128537.55
7616,2022,Manhattan Community Board 4,Household Population,131442.28
7617,2023,Manhattan Community Board 4,Household Population,134412.66
7618,2024,Manhattan Community Board 4,Household Population,137450.16
7619,2006,Manhattan Community Board 4,Housing Units,64444.67
7620,2007,Manhattan Community Board 4,Housing Units,65696.08
7621,2008,Manhattan Community Board 4,Housing Units,66971.79
7622,2009,Manhattan Community Board 4,Housing Units,68272.266
7623,2010,Manhattan Community Board 4,Housing Units,69598.0
7624,2011,Manhattan Community Board 4,Housing Units,70949.48
7625,2012,Manhattan Community Board 4,Housing Units,72327.195
7626,2013,Manhattan Community Board 4,Housing Units,73731.67
7627,2014,Manhattan Community Board 4,Housing Units,75163.414
7628,2015,Manhattan Community Board 4,Housing Units,76622.96
7629,2016,Manhattan Community Board 4,Housing Units,78110.85
7630,2017,Manhattan Community Board 4,Housing Units,79627.63
7631,2018,Manhattan Community Board 4,Housing Units,81173.87
7632,2019,Manhattan Community Board 4,Housing Units,82750.13
7633,2020,Manhattan Community Board 4,Housing Units,84357.0
7634,2021,Manhattan Community Board 4,Housing Units,85995.07
7635,2022,Manhattan Community Board 4,Housing Units,87664.95
7636,2023,Manhattan Community Board 4,Housing Units,89367.26
7637,2024,Manhattan Community Board 4,Housing Units,91102.625
7638,2006,Manhattan Community Board 4,Occupied Housing,56237.08
7639,2007,Manhattan Community Board 4,Occupied Housing,57405.63
7640,2008,Manhattan Community Board 4,Occupied Housing,58598.46
7641,2009,Manhattan Community Board 4,Occupied Housing,59816.082
7642,2010,Manhattan Community Board 4,Occupied Housing,61059.0
7643,2011,Manhattan Community Board 4,Occupied Housing,62327.746
7644,2012,Manhattan Community Board 4,Occupied Housing,63622.855
7645,2013,Manhattan Community Board 4,Occupied Housing,64944.875
7646,2014,Manhattan Community Board 4,Occupied Housing,66294.37
7647,2015,Manhattan Community Board 4,Occupied Housing,67671.9
7648,2016,Manhattan Community Board 4,Occupied Housing,69078.055
7649,2017,Manhattan Community Board 4,Occupied Housing,70513.43
7650,2018,Manhattan Community Board 4,Occupied Housing,71978.63
7651,2019,Manhattan Community Board 4,Occupied Housing,73474.27
7652,2020,Manhattan Community Board 4,Occupied Housing,75001.0
7653,2021,Manhattan Community Board 4,Occupied Housing,76559.445
7654,2022,Manhattan Community Board 4,Occupied Housing,78150.28
7655,2023,Manhattan Community Board 4,Occupied Housing,79774.164
7656,2024,Manhattan Community Board 4,Occupied Housing,81431.8
7657,2006,Manhattan Community Board 4,Other Population,456.65637
7658,2007,Manhattan Community Board 4,Other Population,490.93567
7659,2008,Manhattan Community Board 4,Other Population,527.7882
7660,2009,Manhattan Community Board 4,Other Population,567.4071
7661,2010,Manhattan Community Board 4,Other Population,610.0
7662,2011,Manhattan Community Board 4,Other Population,655.79016
7663,2012,Manhattan Community Board 4,Other Population,705.01764
7664,2013,Manhattan Community Board 4,Other Population,757.9404
7665,2014,Manhattan Community Board 4,Other Population,814.8359
7666,2015,Manhattan Community Board 4,Other Population,876.00226
7667,2016,Manhattan Community Board 4,Other Population,941.7602
7668,2017,Manhattan Community Board 4,Other Population,1012.4542
7669,2018,Manhattan Community Board 4,Other Population,1088.455
7670,2019,Manhattan Community Board 4,Other Population,1170.1609
7671,2020,Manhattan Community Board 4,Other Population,1258.0
7672,2021,Manhattan Community Board 4,Other Population,1352.4329
7673,2022,Manhattan Community Board 4,Other Population,1453.9545
7674,2023,Manhattan Community Board 4,Other Population,1563.0968
7675,2024,Manhattan Community Board 4,Other Population,1680.4321
7676,2006,Manhattan Community Board 4,Population,93765.55
7677,2007,Manhattan Community Board 4,Population,96050.52
7678,2008,Manhattan Community Board 4,Population,98391.18
7679,2009,Manhattan Community Board 4,Population,100788.875
7680,2010,Manhattan Community Board 4,Population,103245.0
7681,2011,Manhattan Community Board 4,Population,105760.98
7682,2012,Manhattan Community Board 4,Population,108338.27
7683,2013,Manhattan Community Board 4,Population,110978.37
7684,2014,Manhattan Community Board 4,Population,113682.805
7685,2015,Manhattan Community Board 4,Population,116453.14
7686,2016,Manhattan Community Board 4,Population,119290.99
7687,2017,Manhattan Community Board 4,Population,122197.99
7688,2018,Manhattan Community Board 4,Population,125175.836
7689,2019,Manhattan Community Board 4,Population,128226.25
7690,2020,Manhattan Community Board 4,Population,131351.0
7691,2021,Manhattan Community Board 4,Population,134551.89
7692,2022,Manhattan Community Board 4,Population,137830.8
7693,2023,Manhattan Community Board 4,Population,141189.6
7694,2024,Manhattan Community Board 4,Population,144630.25
7695,2006,Manhattan Community Board 4,Under 18 Population,7811.4897
7696,2007,Manhattan Community Board 4,Under 18 Population,8027.4917
7697,2008,Manhattan Community Board 4,Under 18 Population,8249.467
7698,2009,Manhattan Community Board 4,Under 18 Population,8477.579
7699,2010,Manhattan Community Board 4,Under 18 Population,8712.0
7700,2011,Manhattan Community Board 4,Under 18 Population,8952.902
7701,2012,Manhattan Community Board 4,Under 18 Population,9200.467
7702,2013,Manhattan Community Board 4,Under 18 Population,9454.877
7703,2014,Manhattan Community Board 4,Under 18 Population,9716.321
7704,2015,Manhattan Community Board 4,Under 18 Population,9984.995
7705,2016,Manhattan Community Board 4,Under 18 Population,10261.099
7706,2017,Manhattan Community Board 4,Under 18 Population,10544.837
7707,2018,Manhattan Community Board 4,Under 18 Population,10836.421
7708,2019,Manhattan Community Board 4,Under 18 Population,11136.067
7709,2020,Manhattan Community Board 4,Under 18 Population,11444.0
7710,2021,Manhattan Community Board 4,Under 18 Population,11760.447
7711,2022,Manhattan Community Board 4,Under 18 Population,12085.6455
7712,2023,Manhattan Community Board 4,Under 18 Population,12419.836
7713,2024,Manhattan Community Board 4,Under 18 Population,12763.267
7714,2006,Manhattan Community Board 4,White Population,59278.156
7715,2007,Manhattan Community Board 4,White Population,59956.15
7716,2008,Manhattan Community Board 4,White Population,60641.89
7717,2009,Manhattan Community Board 4,White Population,61335.48
7718,2010,Manhattan Community Board 4,White Population,62037.0
7719,2011,Manhattan Community Board 4,White Population,62746.543
7720,2012,Manhattan Community Board 4,White Population,63464.203
7721,2013,Manhattan Community Board 4,White Population,64190.07
7722,2014,Manhattan Community Board 4,White Population,64924.242
7723,2015,Manhattan Community Board 4,White Population,65666.81
7724,2016,Manhattan Community Board 4,White Population,66417.87
7725,2017,Manhattan Community Board 4,White Population,67177.52
7726,2018,Manhattan Community Board 4,White Population,67945.86
7727,2019,Manhattan Community Board 4,White Population,68722.984
7728,2020,Manhattan Community Board 4,White Population,69509.0
7729,2021,Manhattan Community Board 4,White Population,70304.01
7730,2022,Manhattan Community Board 4,White Population,71108.1
7731,2023,Manhattan Community Board 4,White Population,71921.4
7732,2024,Manhattan Community Board 4,White Population,72743.99
7733,2006,Manhattan Community Board 5,Asian Population,8400.886
7734,2007,Manhattan Community Board 5,Asian Population,8623.878
7735,2008,Manhattan Community Board 5,Asian Population,8852.788
7736,2009,Manhattan Community Board 5,Asian Population,9087.775
7737,2010,Manhattan Community Board 5,Asian Population,9329.0
7738,2011,Manhattan Community Board 5,Asian Population,9576.628
7739,2012,Manhattan Community Board 5,Asian Population,9830.828
7740,2013,Manhattan Community Board 5,Asian Population,10091.775
7741,2014,Manhattan Community Board 5,Asian Population,10359.65
7742,2015,Manhattan Community Board 5,Asian Population,10634.636
7743,2016,Manhattan Community Board 5,Asian Population,10916.919
7744,2017,Manhattan Community Board 5,Asian Population,11206.696
7745,2018,Manhattan Community Board 5,Asian Population,11504.165
7746,2019,Manhattan Community Board 5,Asian Population,11809.529
7747,2020,Manhattan Community Board 5,Asian Population,12123.0
7748,2021,Manhattan Community Board 5,Asian Population,12444.791
7749,2022,Manhattan Community Board 5,Asian Population,12775.123
7750,2023,Manhattan Community Board 5,Asian Population,13114.225
7751,2024,Manhattan Community Board 5,Asian Population,13462.326
7752,2006,Manhattan Community Board 5,Average Household Size,1.5828236
7753,2007,Manhattan Community Board 5,Average Household Size,1.5895743
7754,2008,Manhattan Community Board 5,Average Household Size,1.596354
7755,2009,Manhattan Community Board 5,Average Household Size,1.6031624
7756,2010,Manhattan Community Board 5,Average Household Size,1.61
7757,2011,Manhattan Community Board 5,Average Household Size,1.6168667
7758,2012,Manhattan Community Board 5,Average Household Size,1.6237627
7759,2013,Manhattan Community Board 5,Average Household Size,1.6306881
7760,2014,Manhattan Community Board 5,Average Household Size,1.637643
7761,2015,Manhattan Community Board 5,Average Household Size,1.6446276
7762,2016,Manhattan Community Board 5,Average Household Size,1.651642
7763,2017,Manhattan Community Board 5,Average Household Size,1.6586863
7764,2018,Manhattan Community Board 5,Average Household Size,1.6657606
7765,2019,Manhattan Community Board 5,Average Household Size,1.6728652
7766,2020,Manhattan Community Board 5,Average Household Size,1.68
7767,2021,Manhattan Community Board 5,Average Household Size,1.6871653
7768,2022,Manhattan Community Board 5,Average Household Size,1.6943611
7769,2023,Manhattan Community Board 5,Average Household Size,1.7015876
7770,2024,Manhattan Community Board 5,Average Household Size,1.7088449
7771,2006,Manhattan Community Board 5,Black Population,1536.0151
7772,2007,Manhattan Community Board 5,Black Population,1665.4597
7773,2008,Manhattan Community Board 5,Black Population,1805.8129
7774,2009,Manhattan Community Board 5,Black Population,1957.994
7775,2010,Manhattan Community Board 5,Black Population,2123.0
7776,2011,Manhattan Community Board 5,Black Population,2301.9114
7777,2012,Manhattan Community Board 5,Black Population,2495.9004
7778,2013,Manhattan Community Board 5,Black Population,2706.2373
7779,2014,Manhattan Community Board 5,Black Population,2934.2998
7780,2015,Manhattan Community Board 5,Black Population,3181.582
7781,2016,Manhattan Community Board 5,Black Population,3449.7034
7782,2017,Manhattan Community Board 5,Black Population,3740.42
7783,2018,Manhattan Community Board 5,Black Population,4055.6362
7784,2019,Manhattan Community Board 5,Black Population,4397.4165
7785,2020,Manhattan Community Board 5,Black Population,4768.0
7786,2021,Manhattan Community Board 5,Black Population,5169.8135
7787,2022,Manhattan Community Board 5,Black Population,5605.489
7788,2023,Manhattan Community Board 5,Black Population,6077.88
7789,2024,Manhattan Community Board 5,Black Population,6590.081
7790,2006,Manhattan Community Board 5,Hispanic Population,3016.14
7791,2007,Manhattan Community Board 5,Hispanic Population,3231.233
7792,2008,Manhattan Community Board 5,Hispanic Population,3461.6648
7793,2009,Manhattan Community Board 5,Hispanic Population,3708.53
7794,2010,Manhattan Community Board 5,Hispanic Population,3973.0
7795,2011,Manhattan Community Board 5,Hispanic Population,4256.3306
7796,2012,Manhattan Community Board 5,Hispanic Population,4559.866
7797,2013,Manhattan Community Board 5,Hispanic Population,4885.0483
7798,2014,Manhattan Community Board 5,Hispanic Population,5233.421
7799,2015,Manhattan Community Board 5,Hispanic Population,5606.6367
7800,2016,Manhattan Community Board 5,Hispanic Population,6006.4683
7801,2017,Manhattan Community Board 5,Hispanic Population,6434.8135
7802,2018,Manhattan Community Board 5,Hispanic Population,6893.7056
7803,2019,Manhattan Community Board 5,Hispanic Population,7385.323
7804,2020,Manhattan Community Board 5,Hispanic Population,7912.0
7805,2021,Manhattan Community Board 5,Hispanic Population,8476.236
7806,2022,Manhattan Community Board 5,Hispanic Population,9080.71
7807,2023,Manhattan Community Board 5,Hispanic Population,9728.292
7808,2024,Manhattan Community Board 5,Hispanic Population,10422.055
7809,2006,Manhattan Community Board 5,Household Population,45159.477
7810,2007,Manhattan Community Board 5,Household Population,45840.78
7811,2008,Manhattan Community Board 5,Household Population,46532.367
7812,2009,Manhattan Community Board 5,Household Population,47234.39
7813,2010,Manhattan Community Board 5,Household Population,47947.0
7814,2011,Manhattan Community Board 5,Household Population,48670.363
7815,2012,Manhattan Community Board 5,Household Population,49404.637
7816,2013,Manhattan Community Board 5,Household Population,50149.99
7817,2014,Manhattan Community Board 5,Household Population,50906.59
7818,2015,Manhattan Community Board 5,Household Population,51674.6
7819,2016,Manhattan Community Board 5,Household Population,52454.2
7820,2017,Manhattan Community Board 5,Household Population,53245.56
7821,2018,Manhattan Community Board 5,Household Population,54048.86
7822,2019,Manhattan Community Board 5,Household Population,54864.277
7823,2020,Manhattan Community Board 5,Household Population,55692.0
7824,2021,Manhattan Community Board 5,Household Population,56532.207
7825,2022,Manhattan Community Board 5,Household Population,57385.094
7826,2023,Manhattan Community Board 5,Household Population,58250.844
7827,2024,Manhattan Community Board 5,Household Population,59129.656
7828,2006,Manhattan Community Board 5,Housing Units,34467.656
7829,2007,Manhattan Community Board 5,Housing Units,34976.848
7830,2008,Manhattan Community Board 5,Housing Units,35493.562
7831,2009,Manhattan Community Board 5,Housing Units,36017.906
7832,2010,Manhattan Community Board 5,Housing Units,36550.0
7833,2011,Manhattan Community Board 5,Housing Units,37089.953
7834,2012,Manhattan Community Board 5,Housing Units,37637.883
7835,2013,Manhattan Community Board 5,Housing Units,38193.91
7836,2014,Manhattan Community Board 5,Housing Units,38758.15
7837,2015,Manhattan Community Board 5,Housing Units,39330.723
7838,2016,Manhattan Community Board 5,Housing Units,39911.754
7839,2017,Manhattan Community Board 5,Housing Units,40501.37
7840,2018,Manhattan Community Board 5,Housing Units,41099.7
7841,2019,Manhattan Community Board 5,Housing Units,41706.863
7842,2020,Manhattan Community Board 5,Housing Units,42323.0
7843,2021,Manhattan Community Board 5,Housing Units,42948.24
7844,2022,Manhattan Community Board 5,Housing Units,43582.71
7845,2023,Manhattan Community Board 5,Housing Units,44226.56
7846,2024,Manhattan Community Board 5,Housing Units,44879.918
7847,2006,Manhattan Community Board 5,Occupied Housing,28557.418
7848,2007,Manhattan Community Board 5,Occupied Housing,28868.203
7849,2008,Manhattan Community Board 5,Occupied Housing,29182.371
7850,2009,Manhattan Community Board 5,Occupied Housing,29499.957
7851,2010,Manhattan Community Board 5,Occupied Housing,29821.0
7852,2011,Manhattan Community Board 5,Occupied Housing,30145.537
7853,2012,Manhattan Community Board 5,Occupied Housing,30473.605
7854,2013,Manhattan Community Board 5,Occupied Housing,30805.244
7855,2014,Manhattan Community Board 5,Occupied Housing,31140.49
7856,2015,Manhattan Community Board 5,Occupied Housing,31479.387
7857,2016,Manhattan Community Board 5,Occupied Housing,31821.973
7858,2017,Manhattan Community Board 5,Occupied Housing,32168.285
7859,2018,Manhattan Community Board 5,Occupied Housing,32518.365
7860,2019,Manhattan Community Board 5,Occupied Housing,32872.258
7861,2020,Manhattan Community Board 5,Occupied Housing,33230.0
7862,2021,Manhattan Community Board 5,Occupied Housing,33591.637
7863,2022,Manhattan Community Board 5,Occupied Housing,33957.207
7864,2023,Manhattan Community Board 5,Occupied Housing,34326.758
7865,2024,Manhattan Community Board 5,Occupied Housing,34700.33
7866,2006,Manhattan Community Board 5,Other Population,141.50012
7867,2007,Manhattan Community Board 5,Other Population,157.46445
7868,2008,Manhattan Community Board 5,Other Population,175.22992
7869,2009,Manhattan Community Board 5,Other Population,194.99973
7870,2010,Manhattan Community Board 5,Other Population,217.0
7871,2011,Manhattan Community Board 5,Other Population,241.48239
7872,2012,Manhattan Community Board 5,Other Population,268.72693
7873,2013,Manhattan Community Board 5,Other Population,299.04526
7874,2014,Manhattan Community Board 5,Other Population,332.78418
7875,2015,Manhattan Community Board 5,Other Population,370.3296
7876,2016,Manhattan Community Board 5,Other Population,412.11093
7877,2017,Manhattan Community Board 5,Other Population,458.60614
7878,2018,Manhattan Community Board 5,Other Population,510.34705
7879,2019,Manhattan Community Board 5,Other Population,567.9255
7880,2020,Manhattan Community Board 5,Other Population,632.0
7881,2021,Manhattan Community Board 5,Other Population,703.3035
7882,2022,Manhattan Community Board 5,Other Population,782.65173
7883,2023,Manhattan Community Board 5,Other Population,870.95215
7884,2024,Manhattan Community Board 5,Other Population,969.2148
7885,2006,Manhattan Community Board 5,Population,47553.918
7886,2007,Manhattan Community Board 5,Population,48551.836
7887,2008,Manhattan Community Board 5,Population,49570.69
7888,2009,Manhattan Community Board 5,Population,50610.934
7889,2010,Manhattan Community Board 5,Population,51673.0
7890,2011,Manhattan Community Board 5,Population,52757.355
7891,2012,Manhattan Community Board 5,Population,53864.465
7892,2013,Manhattan Community Board 5,Population,54994.81
7893,2014,Manhattan Community Board 5,Population,56148.875
7894,2015,Manhattan Community Board 5,Population,57327.156
7895,2016,Manhattan Community Board 5,Population,58530.164
7896,2017,Manhattan Community Board 5,Population,59758.418
7897,2018,Manhattan Community Board 5,Population,61012.445
7898,2019,Manhattan Community Board 5,Population,62292.79
7899,2020,Manhattan Community Board 5,Population,63600.0
7900,2021,Manhattan Community Board 5,Population,64934.645
7901,2022,Manhattan Community Board 5,Population,66297.3
7902,2023,Manhattan Community Board 5,Population,67688.54
7903,2024,Manhattan Community Board 5,Population,69108.984
7904,2006,Manhattan Community Board 5,Under 18 Population,3071.6196
7905,2007,Manhattan Community Board 5,Under 18 Population,3221.399
7906,2008,Manhattan Community Board 5,Under 18 Population,3378.4817
7907,2009,Manhattan Community Board 5,Under 18 Population,3543.224
7908,2010,Manhattan Community Board 5,Under 18 Population,3716.0
7909,2011,Manhattan Community Board 5,Under 18 Population,3897.2007
7910,2012,Manhattan Community Board 5,Under 18 Population,4087.2373
7911,2013,Manhattan Community Board 5,Under 18 Population,4286.5405
7912,2014,Manhattan Community Board 5,Under 18 Population,4495.562
7913,2015,Manhattan Community Board 5,Under 18 Population,4714.776
7914,2016,Manhattan Community Board 5,Under 18 Population,4944.679
7915,2017,Manhattan Community Board 5,Under 18 Population,5185.7935
7916,2018,Manhattan Community Board 5,Under 18 Population,5438.6646
7917,2019,Manhattan Community Board 5,Under 18 Population,5703.866
7918,2020,Manhattan Community Board 5,Under 18 Population,5982.0
7919,2021,Manhattan Community Board 5,Under 18 Population,6273.6963
7920,2022,Manhattan Community Board 5,Under 18 Population,6579.616
7921,2023,Manhattan Community Board 5,Under 18 Population,6900.453
7922,2024,Manhattan Community Board 5,Under 18 Population,7236.935
7923,2006,Manhattan Community Board 5,White Population,34651.684
7924,2007,Manhattan Community Board 5,White Population,34729.004
7925,2008,Manhattan Community Board 5,White Population,34806.496
7926,2009,Manhattan Community Board 5,White Population,34884.16
7927,2010,Manhattan Community Board 5,White Population,34962.0
7928,2011,Manhattan Community Board 5,White Population,35040.01
7929,2012,Manhattan Community Board 5,White Population,35118.2
7930,2013,Manhattan Community Board 5,White Population,35196.56
7931,2014,Manhattan Community Board 5,White Population,35275.094
7932,2015,Manhattan Community Board 5,White Population,35353.805
7933,2016,Manhattan Community Board 5,White Population,35432.69
7934,2017,Manhattan Community Board 5,White Population,35511.754
7935,2018,Manhattan Community Board 5,White Population,35590.992
7936,2019,Manhattan Community Board 5,White Population,35670.406
7937,2020,Manhattan Community Board 5,White Population,35750.0
7938,2021,Manhattan Community Board 5,White Population,35829.77
7939,2022,Manhattan Community Board 5,White Population,35909.72
7940,2023,Manhattan Community Board 5,White Population,35989.844
7941,2024,Manhattan Community Board 5,White Population,36070.152
7942,2006,Manhattan Community Board 6,Asian Population,17493.346
7943,2007,Manhattan Community Board 6,Asian Population,18058.07
7944,2008,Manhattan Community Board 6,Asian Population,18641.025
7945,2009,Manhattan Community Board 6,Asian Population,19242.799
7946,2010,Manhattan Community Board 6,Asian Population,19864.0
7947,2011,Manhattan Community Board 6,Asian Population,20505.254
7948,2012,Manhattan Community Board 6,Asian Population,21167.21
7949,2013,Manhattan Community Board 6,Asian Population,21850.535
7950,2014,Manhattan Community Board 6,Asian Population,22555.92
7951,2015,Manhattan Community Board 6,Asian Population,23284.074
7952,2016,Manhattan Community Board 6,Asian Population,24035.736
7953,2017,Manhattan Community Board 6,Asian Population,24811.664
7954,2018,Manhattan Community Board 6,Asian Population,25612.64
7955,2019,Manhattan Community Board 6,Asian Population,26439.475
7956,2020,Manhattan Community Board 6,Asian Population,27293.0
7957,2021,Manhattan Community Board 6,Asian Population,28174.08
7958,2022,Manhattan Community Board 6,Asian Population,29083.602
7959,2023,Manhattan Community Board 6,Asian Population,30022.486
7960,2024,Manhattan Community Board 6,Asian Population,30991.68
7961,2006,Manhattan Community Board 6,Average Household Size,1.6327996
7962,2007,Manhattan Community Board 6,Average Household Size,1.6395576
7963,2008,Manhattan Community Board 6,Average Household Size,1.6463436
7964,2009,Manhattan Community Board 6,Average Household Size,1.6531577
7965,2010,Manhattan Community Board 6,Average Household Size,1.66
7966,2011,Manhattan Community Board 6,Average Household Size,1.6668706
7967,2012,Manhattan Community Board 6,Average Household Size,1.6737697
7968,2013,Manhattan Community Board 6,Average Household Size,1.6806972
7969,2014,Manhattan Community Board 6,Average Household Size,1.6876535
7970,2015,Manhattan Community Board 6,Average Household Size,1.6946386
7971,2016,Manhattan Community Board 6,Average Household Size,1.7016525
7972,2017,Manhattan Community Board 6,Average Household Size,1.7086955
7973,2018,Manhattan Community Board 6,Average Household Size,1.7157677
7974,2019,Manhattan Community Board 6,Average Household Size,1.7228692
7975,2020,Manhattan Community Board 6,Average Household Size,1.73
7976,2021,Manhattan Community Board 6,Average Household Size,1.7371603
7977,2022,Manhattan Community Board 6,Average Household Size,1.7443503
7978,2023,Manhattan Community Board 6,Average Household Size,1.75157
7979,2024,Manhattan Community Board 6,Average Household Size,1.7588197
7980,2006,Manhattan Community Board 6,Black Population,4750.627
7981,2007,Manhattan Community Board 6,Black Population,4795.8213
7982,2008,Manhattan Community Board 6,Black Population,4841.4453
7983,2009,Manhattan Community Board 6,Black Population,4887.5034
7984,2010,Manhattan Community Board 6,Black Population,4934.0
7985,2011,Manhattan Community Board 6,Black Population,4980.9385
7986,2012,Manhattan Community Board 6,Black Population,5028.324
7987,2013,Manhattan Community Board 6,Black Population,5076.16
7988,2014,Manhattan Community Board 6,Black Population,5124.451
7989,2015,Manhattan Community Board 6,Black Population,5173.2017
7990,2016,Manhattan Community Board 6,Black Population,5222.416
7991,2017,Manhattan Community Board 6,Black Population,5272.0986
7992,2018,Manhattan Community Board 6,Black Population,5322.254
7993,2019,Manhattan Community Board 6,Black Population,5372.886
7994,2020,Manhattan Community Board 6,Black Population,5424.0
7995,2021,Manhattan Community Board 6,Black Population,5475.6
7996,2022,Manhattan Community Board 6,Black Population,5527.6914
7997,2023,Manhattan Community Board 6,Black Population,5580.2783
7998,2024,Manhattan Community Board 6,Black Population,5633.365
7999,2006,Manhattan Community Board 6,Hispanic Population,9835.417
8000,2007,Manhattan Community Board 6,Hispanic Population,10075.153
8001,2008,Manhattan Community Board 6,Hispanic Population,10320.734
8002,2009,Manhattan Community Board 6,Hispanic Population,10572.302
8003,2010,Manhattan Community Board 6,Hispanic Population,10830.0
8004,2011,Manhattan Community Board 6,Hispanic Population,11093.98
8005,2012,Manhattan Community Board 6,Hispanic Population,11364.395
8006,2013,Manhattan Community Board 6,Hispanic Population,11641.4
8007,2014,Manhattan Community Board 6,Hispanic Population,11925.158
8008,2015,Manhattan Community Board 6,Hispanic Population,12215.833
8009,2016,Manhattan Community Board 6,Hispanic Population,12513.593
8010,2017,Manhattan Community Board 6,Hispanic Population,12818.609
8011,2018,Manhattan Community Board 6,Hispanic Population,13131.062
8012,2019,Manhattan Community Board 6,Hispanic Population,13451.13
8013,2020,Manhattan Community Board 6,Hispanic Population,13779.0
8014,2021,Manhattan Community Board 6,Hispanic Population,14114.861
8015,2022,Manhattan Community Board 6,Hispanic Population,14458.91
8016,2023,Manhattan Community Board 6,Hispanic Population,14811.344
8017,2024,Manhattan Community Board 6,Hispanic Population,15172.369
8018,2006,Manhattan Community Board 6,Household Population,130609.42
8019,2007,Manhattan Community Board 6,Household Population,131962.16
8020,2008,Manhattan Community Board 6,Household Population,133328.89
8021,2009,Manhattan Community Board 6,Household Population,134709.8
8022,2010,Manhattan Community Board 6,Household Population,136105.0
8023,2011,Manhattan Community Board 6,Household Population,137514.66
8024,2012,Manhattan Community Board 6,Household Population,138938.9
8025,2013,Manhattan Community Board 6,Household Population,140377.9
8026,2014,Manhattan Community Board 6,Household Population,141831.81
8027,2015,Manhattan Community Board 6,Household Population,143300.78
8028,2016,Manhattan Community Board 6,Household Population,144784.97
8029,2017,Manhattan Community Board 6,Household Population,146284.52
8030,2018,Manhattan Community Board 6,Household Population,147799.6
8031,2019,Manhattan Community Board 6,Household Population,149330.38
8032,2020,Manhattan Community Board 6,Household Population,150877.0
8033,2021,Manhattan Community Board 6,Household Population,152439.64
8034,2022,Manhattan Community Board 6,Household Population,154018.48
8035,2023,Manhattan Community Board 6,Household Population,155613.66
8036,2024,Manhattan Community Board 6,Household Population,157225.38
8037,2006,Manhattan Community Board 6,Housing Units,89298.0
8038,2007,Manhattan Community Board 6,Housing Units,89982.34
8039,2008,Manhattan Community Board 6,Housing Units,90671.93
8040,2009,Manhattan Community Board 6,Housing Units,91366.805
8041,2010,Manhattan Community Board 6,Housing Units,92067.0
8042,2011,Manhattan Community Board 6,Housing Units,92772.56
8043,2012,Manhattan Community Board 6,Housing Units,93483.53
8044,2013,Manhattan Community Board 6,Housing Units,94199.95
8045,2014,Manhattan Community Board 6,Housing Units,94921.87
8046,2015,Manhattan Community Board 6,Housing Units,95649.305
8047,2016,Manhattan Community Board 6,Housing Units,96382.32
8048,2017,Manhattan Community Board 6,Housing Units,97120.96
8049,2018,Manhattan Community Board 6,Housing Units,97865.25
8050,2019,Manhattan Community Board 6,Housing Units,98615.25
8051,2020,Manhattan Community Board 6,Housing Units,99371.0
8052,2021,Manhattan Community Board 6,Housing Units,100132.54
8053,2022,Manhattan Community Board 6,Housing Units,100899.914
8054,2023,Manhattan Community Board 6,Housing Units,101673.17
